발견시간,사이트,구분,분류,번호,제목,날짜,조회수,링크
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,2026년도 하반기 AI보안연구센터 학부생 인턴 모집,2026-05-28,730,http://infocom.ssu.ac.kr/kor/undergraduate/0101.php
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,★★★ 2026학년도 2학기 한국장학재단 국가장학금 1차 신청 안내 ★★★,2026-05-21,463,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2675&pNo=1&code=notice
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,"(학부연구생 추가모집공고) SoC 연구실 이성수 교수(전자공학,IT융합전공 가능)(~6/25까지)",2026-05-19,750,http://infocom.ssu.ac.kr/kor/undergraduate/0101.php
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,[IT융합전공] 2026년도 KICS 하계종합학술대회 발표회 학부생 아이디어경진대회 지원(4명이내 선착순 지원),2026-05-18,533,http://infocom.ssu.ac.kr/kor/undergraduate/0101.php
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,[IT융합전공] 2026년도 KICS 하계종합학술대회 발표회 학부생 아이디어경진대회 지원(4명이내 선착순 지원),2026-05-12,392,http://infocom.ssu.ac.kr/kor/undergraduate/0101.php
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,2026학년도 교직과정 이수 신청 안내,2026-04-22,271,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2638&pNo=1&code=notice
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,2026년 호주 첨단산업 글로벌 인재양성 단기연수 프로그램,2026-04-20,297,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2634&pNo=1&code=notice
2026-06-23 14:33:20,숭실대 전자정보공학부 학부공지,일반공지,,,2026-2학기 국외(호주) 현장실습학기제 학생 참여 안내,2026-04-15,263,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2629&pNo=1&code=notice
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,POLARIS,공지,2026 전국 대학생 AI 반도체 회로 설계 경진 대회 안내(7/1 접수시작),2026-06-22,348,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8731
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,POLARIS,공지,2026 COSS 차세대반도체 Microcontroller(MCU) 응용 경진대회 안내,2026-06-10,653,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8716
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,중앙대학교,공지,[중앙대학교] 2026학년도 2학기 중앙대학교 학점교류 취득학점제한 완화 신청 안내,2026-06-09,274,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8714
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,POLARIS,공지,[무인판매대 상품인식 인공지능 경진대회 서버 장애 안내],2026-05-28,329,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8707
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,차세대반도체학과 2026 비교과 프로그램 안내,2026-05-21,2107,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8700
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,POLARIS,공지,★★2026 차세대반도체 경진대회 안내★★(사전신청: ~7/3),2026-05-20,6223,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8698
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,2027학년도 운영 관련 주요 안내,2026-05-14,987,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8690
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,POLARIS,공지,2026 POLARIS 경진대회 안내,2026-05-14,1709,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8689
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,★차세대반도체학과 [관련 교과목] 이수 관련 안내,2026-03-23,510,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8618
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,차세대반도체 메일 본문 생성기 운영 안내,2026-02-23,573,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8597
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,[★중요 공지/필수 확인] 마이크로디그리 인증서 발급 절차 변경 안내,2026-02-11,616,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8587
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,중앙대학교,공지,[임시] 마이크로디그리 인증서 발급 절차 안내 (6/15~6/19),2026-05-11,1469,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8570
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,국내 대학(타 대학) 교류수학 신청 학점 관련 유의사항 안내,2026-01-20,714,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8569
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,차세대반도체학과 다전공 이수요건 안내,2025-09-15,6529,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8382
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,차세대반도체학과 다전공 신청 안내,2025-09-15,5070,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8379
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,"캡스톤디자인실(아산관 204호, 307호) 이용 안내",2025-09-10,1027,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8363
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,"강원대학교 차세대반도체학과(부,복수전공생) 오픈채팅방 운영 안내",2025-07-30,1109,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8309
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,[★중요 공지/필수 확인] 차세대반도체학과 교과목 (~입문) 관련 추가 안내,2025-07-24,1698,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8297
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,[★중요 공지/필수 확인] '학부생연구인턴' 교과목 관련 안내,2025-05-14,1873,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8184
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,[★중요 공지/필수 확인] (4724084)디지털시스템설계 / 전자공학과 및 전기전자공학과 수강 금지 안내,2025-02-11,1688,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8092
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,조선이공대학교,공지,★마이크로디그리 발급 신청 안내★,2024-12-09,1734,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8002
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,★공결 신청 방법 안내★,2024-11-27,2242,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7988
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,"★부전공 및 복수전공 이수인정원, 포기서, 이수 변경 신청서 양식",2024-10-15,1960,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7932
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,서울대학교,공지,마이크로디그리 인증서 발급 절차 변경 안내,2024-05-17,2560,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7754
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,차세대반도체학과 교통비 지원 안내,2023-12-08,3833,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7580
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,●차세대반도체학과 자율실습실 이용방법 안내●,2025-12-12,5789,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7466
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,중앙대학교,공지,[상시신청] 이수구분 변경 신청 안내,2023-07-27,4296,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7449
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,★2023학년도 부전공·복수전공 선발 학생 「전공필수」교과목 안내,2023-02-01,3651,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7260
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,숭실대학교,공지,차세대반도체학과 다전공 포기 및 변경 신청 안내,2022-11-30,5566,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7187
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,서울대학교,공지,서울대학교 차세대반도체 혁신공유대학 교과인증과정 안내,2022-08-19,5135,https://www.disu.ac.kr/community/notice?md=v&bbsidx=7034
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,고정공지,강원대학교,공지,★2022학년도 부전공·복수전공 선발 학생 「전공필수」교과목 안내,2022-01-28,4193,https://www.disu.ac.kr/community/notice?md=v&bbsidx=6809
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,일반공지,POLARIS,1572,[POLARIS] 2026 프로젝트 보고서 챌린지(CPC) 1차 심사 결과 및 2차 심사 안내 (6/22 재공지),2026-06-18,648,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8729
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,일반공지,중앙대학교,1571,[중앙대학교] ITC-CSCC 2026 국제학술대회 지원 안내(~6/21),2026-06-12,493,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8725
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,일반공지,중앙대학교,1570,[중앙대학교] IEEE ICCE-TW 2026 국제학술대회 지원 안내(~6/21),2026-06-12,360,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8724
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,일반공지,숭실대학교,1569,2026-2학기 포항공과대학교 학점교류 안내(~6/17 수 17시),2026-06-11,776,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8723
2026-06-23 14:33:20,차세대반도체 혁신융합대학 공지사항,일반공지,숭실대학교,1568,2026학년도 숭실대 하계 단기강좌 수요조사,2026-06-11,760,https://www.disu.ac.kr/community/notice?md=v&bbsidx=8722
